"Menu","Numeration","Name (de)","Name (en)","Name (zh)","Description (de)","Description (en)","Description (zh)","Remarks","Price (€)","Type"
"Gebraten Dumplings","D10","Pure Vegan (Gebraten)","Pure Vegan (Pan Fried)","纯粹素食（煎饺）Pure Vegan (Gebraten)","asiatische Broccoliblätter, dicke Glasnudeln, Shiitakepilzen und Sezuan Pfeffer","asian broccoli leaves, rice noodles, shiitake mushrooms and sezuan pepper","asiatische Broccoliblätter, dicke Glasnudeln, Shiitakepilzen und Sezuan Pfeffer","","7.9","食物"
"Gebraten Dumplings","D11","10 Gebratene Dumplings Bunte Mischung","10 Fried Dumplings All Falvors Mixed","十粒煎饺每种一粒 10 Gebratene Dumplings Bunte Mischung","","one of each filling","","","7.9","食物"
"Gebraten Dumplings","D12","10 individuelle ausgewählte gebratene Dumplings","10 individually selected fried dumplings","十粒煎饺自由混搭 10 individuelle ausgewählte gebratene Dumplings","","","","","8.4","食物"
"Gebraten Dumplings","","Ein Gebratenes Dumpling","One Fried Dumpling","加一个煎饺","","","","","0.79","食物"
"muell","F03b","Yuzhu Eis","Yuzhu Icecreame","柚子冰淇凌","eine Kugel","one scoop","eine Kugel","","2.9","食物"
"muell","","Mineralwasser ohne Kohlensäure","Mineralwasser ohne Kohlensäure","无气矿泉水","Stilles Mineralwasser","Still mineral water","不含气的矿泉水","","2.5","饮料"
"muell","","Coca-Cola Light","Coca-Cola Light","健怡可乐","Kalorienreduzierte Cola","Low calorie cola","低卡路里可乐","","2.8","饮料"
"muell","","Rhabarber Bio-Schorle","Rhabarber Bio-Schorle","有机大黄汁","Bio Rhabarbersaft mit Mineralwasser","Organic rhubarb juice with mineral water","有机大黄果汁配矿泉水","","2.8","饮料"
"muell","","Zitrone Bio-Schorle","Zitrone Bio-Schorle","有机柠檬汁","Bio Zitronensaft mit Mineralwasser","Organic lemon juice with mineral water","有机柠檬汁配矿泉水","","2.8","饮料"
"muell","","Ingwer Bio-Schorle","Ingwer Bio-Schorle","有机姜汁","Bio Ingwersaft mit Mineralwasser","Organic ginger juice with mineral water","有机姜汁配矿泉水","","2.8","饮料"
"muell","","Holunder Bionade","Holunder Bionade","接骨木浆果发酵饮料","Bio Holunderbeeren Getränk","Organic elderberry beverage","有机接骨木浆果饮料","","2.8","饮料"
"muell","","Blutorange Bio-Lemonade","Blutorange Bio-Lemonade","有机血橙汽水","Bio Blutorangenlimonade","Organic blood orange lemonade","有机血橙柠檬水","","3.3","饮料"
"muell","","Limette Bio-Lemonade","Limette Bio-Lemonade","有机青柠汽水","Bio Limettenlimonade","Organic lime lemonade","有机青柠柠檬水","","3.3","饮料"
"muell","","Limonade aus Japan","Limonade from Japan","日本柠檬汽水","Japanische Spezialität","Japanese specialty","日本特产汽水","","3.5","饮料"
"muell","","Matcha Limonade aus Japan","Matcha Limonade aus Japan","日本抹茶汽水","Japanische Matchalimonade","Japanese matcha lemonade","日本抹茶柠檬水","","3.5","饮料"
"muell","","Yinzhen","Yinzhen","银针","Weißer Tee der höchsten Qualität","Highest quality white tea","高品质白茶","","3.5","饮料"
"muell","","Ein Gedaempftes Dumpling","One Steamed Dumpling","加一个蒸饺","","","","","0.89","食物"
